group,TD-DOA,keyword
Normal,648,MAB
Normal,606,RTW
Normal,648,MAB
Normal,634,RTW
Normal,672,RTW
Legal,37,RTW
Legal,62,RTW
Legal,204,DS - Succeed
Legal,223,RTW
Legal,573,DS - Succeed
Legal,49,file screening
Legal,57,file screening
Legal,20,file screening
Legal,416,MAB
Legal,416,MAB
Legal,468,DS
Legal,507,MAB-2nd
Legal,486,DS
Legal,1154,DS
Legal,82,file screening
Legal,112,RTW
Legal,224,HLM
Legal,252,RTW
Legal,253,HLM
Legal,309,RTW
Legal,406,MAB
Legal,824,DS - Succeed
Legal,56,file screening
Legal,415,MAB
Legal,415,MAB
Legal,27,file screening
Legal,14,RTW
Legal,57,file screening
Legal,173,MAB
Legal,806,DS - Succeed
Legal,167,file screening
Legal,135,MAB
Legal,135,MAB
Legal,233,MAB-2nd
Legal,233,MAB-2nd
Legal,233,MAB-2nd
Legal,135,MAB
Legal,233,MAB-2nd
Normal,90,file screening
Normal,932,MAB
Normal,932,MAB
Normal,932,MAB
Legal,45,file screening
Legal,45,HLM
Legal,58,file screening
Legal,59,file screening
Legal,765,MAB
Legal,765,MAB
Legal,765,MAB
Legal,1015,DS - Succeed
Legal,1064,DS - Succeed
Normal,41,file screening
Normal,232,RTW
Normal,307,RTW
Normal,356,RTW
Normal,370,RTW
Normal,405,RTW
Normal,498,MAB
Legal,69,file screening
Legal,447,RTW
DS,47,file screening
DS,74,file screening
DS,108,RTW
DS,110,RTW
DS,196,MAB
DS,229,DS
DS,630,MAB-2nd
DS,665,MAB-2nd
Normal,27,file screening
Normal,251,file screening
Normal,673,MAB-2nd
Legal,58,file screening
Legal,58,file screening
Legal,249,MAB
Legal,225,RTW
Legal,249,MAB
Legal,250,RTW
Legal,249,MAB
Legal,249,MAB
Legal,250,RTW
Legal,283,RTW
Legal,249,MAB
Legal,283,RTW
Legal,249,MAB
Legal,317,RTW
Legal,249,MAB
Legal,355,RTW
Legal,249,MAB
Legal,386,RTW
Legal,249,MAB
Legal,26,file screening
Legal,54,file screening
Legal,54,HLM
Legal,139,DS
Legal,122,MAB
Legal,199,MAB-2nd
Legal,181,DS
Legal,290,MAB-2nd
Legal,383,DS
Legal,352,MAB-2nd
Legal,102,file screening
Legal,102,RTW
Legal,133,RTW
Legal,244,MAB
Normal,72,file screening
Normal,337,MAB
Normal,75,file screening
Normal,600,MAB
Normal,600,MAB
Normal,600,MAB
Normal,600,MAB
Normal,29,file screening
Normal,85,file screening
Normal,96,RTW
Normal,216,RTW
Normal,263,RTW
Normal,475,RTW
Normal,580,MAB
Legal,65,file screening
Legal,65,HLM
Legal,421,RTW
Legal,454,RTW
Legal,1506,MAB
Legal,477,RTW
Legal,504,RTW
Legal,563,RTW
Legal,595,RTW
Legal,37,file screening
