tconst,startYear,title,Country of Origin,HK?,language,runtimeMinutes,genres,averageRating,numVotes
tt0079305,1979,Raiding Party,Hong Kong,1,\N,79,"Action,War",4.7,15
tt0202121,1979,Man da,Hong Kong,1,yue,79,Action,5.6,45
tt0080152,1979,Crazy Couple,Hong Kong,1,en,77,"Action,Comedy",3.3,184
tt1228967,1979,Crippled Kung Fu Boxer,Hong Kong,1,en,77,"Action,Comedy",5.6,32
tt0077266,1979,Da heng wai chuan,Hong Kong,1,cmn,,Drama,6,7
tt0078756,1979,The Almighty Extra,Hong Kong,1,en,,Action,5.6,9
tt0079042,1979,Death Duel of Silver Fox,Taiwan/Hong Kong,1,en,,Action,5.9,51
tt0079780,1979,Re-enter the Dragon,Hong Kong,1,\N,,"Action,Drama",7.2,17
tt0184620,1979,Mong hon dau liu chin,Hong Kong,1,yue,,Action,5.3,18
tt0186317,1979,Vice Squad 633,Hong Kong,1,en,,\N,5.3,9
tt0343752,1979,"The Fairy, the Ghost and Ah Chung",Hong Kong,1,en,,Action,3.3,21
tt0367654,1979,Rainbow in My Heart,Taiwan/Hong Kong,1,en,,"Comedy,Romance",6,8
tt1216311,1979,奇門怪招爛頭蟀,Hong Kong,1,cmn,,"Action,Comedy",7.2,8
tt2371529,1979,Sun tip cho moon sun,Hong Kong,1,yue,,"Adventure,Comedy",5.4,6
tt0080726,1980,飛狐外傳,Hong Kong,1,cmn,129,"Action,Drama",6.7,156
tt0121116,1980,Bao ja,Hong Kong,1,yue,114,"Action,Comedy",5.7,96
tt0080743,1980,The Flag of Iron,Hong Kong,1,en,113,"Action,Drama",6.9,499
tt0202697,1980,Ying xiong wu lei,Hong Kong,1,\N,111,"Action,Drama",6.1,222
tt0081789,1980,The Heroes,Taiwan/Hong Kong,1,en,106,Action,6.3,159
tt0081499,1980,The Young Master,Hong Kong,1,en,105,"Action,Adventure,Comedy",7.1,8110
tt0080827,1980,Encounter of the Spooky Kind,Hong Kong,1,en,102,"Action,Comedy,Fantasy",7,2732
tt0076580,1980,From Riches to Rags (1980),Hong Kong,1,en,101,"Action,Adventure,Comedy",5.5,143
tt0078428,1980,Two Champions of Shaolin,Hong Kong,1,en,101,"Action,Drama",6.3,761
